title,description,status,work_type,employer,started_at,ended_at,experience_id
engenheiro de dados,aprendizado no desenvolvimento e otimização de pipeline e modelagem de dados por meio do Python e das principais bibliotecas de D&A e dos serviços de computação em núvem da AWS.,ongoing,estágio,compass.uol,2023-10-16,,2a29adff-a6b9-4bd2-8287-8cc1434f09f9
desenvolvedor full-stack,desenvolvimento de interfaces e API de aplicações WEB por meio do JavaScript e Node.JS e suas principais bibliotecas e framework para o back-end e front-end ,ongoing,freelancer,,2022-10-01,,8db7f469-c9b3-44b3-b629-06da2ef643a4
